ITEM,EXPORTING COUNTRY,NAME OF MANUFACTURERS,SHIPPER,ARTICLE,CONTENTS OF VIOLATION,QUARANTIN STATION,NAME OF IMPORTERS,CAUSE OF VIOLATION,DISPOSAL OF THE CARGO,REMARKS,Publication day
Implements(rubber): V-RING,Korea,"NUC ELECTRONICS CO., LTD.",,Art.18(2),non-conformity with standard for materials (zinc),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-05
Frozen fresh fish and shellfish for raw consumption:FROZEN RAW VANNAMEI SUSHI EB,Vietnam,MINH PHU SEAFOOD CORP.,,Art.11(2),violation of compositional standard (enrofloxacin 0.02 ppm detection),kawasaki,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-05
Frozen food served without heating:COOKED PEELED SHRIMP TAIL ON ,Thailand,MARINE GOLD PRODUCTS LIMITED,,Art.11(2),violation of compositional standard (coliform bacteria positive),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-01-05
Roasted peanuts:BLACK KINGKONG PEANUTS,Taiwan,YU SHUEN-FENG PEANUT FACTORY,,Art.6 (ⅱ),"aflatoxin (mycotoxin)  36 μg/kg　（B1:32.5 , B2:3.5) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-05
DRIED SNAKE MEAT POWDER,Indonesia,PT. DELTA SATWA BHAKTI LESTARI,,Art.11(2),violation of standard of use (SO2 0.044 g/kg detection),moji,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-01-05
STRETCHED PTO BLACK TIGER SHRIMP,Vietnam,TAIKA SEAFOOD CORPORATION,,Art.11(2),violation of compositional standard (enrofloxacin 0.06 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-05
Salted lotus roots,China,"LIANYUNGANG ACE JUNPUKU FOODS CO., LTD",,Art.11(2),violation of standard of use (sodium hydrosulfite (as SO₂) 0.14 g/kg detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-05
Crude magnesium chloride(sea water),China,"FUJIAN SALT PRODUCTS IMP. & EXP. CO.,LTD.",,Art.11(2),violation of compositional standard (purity:sodium),nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-05
Frozen beef: LUNG,Ireland,KILDARE CHILLING,,Art.9(2),Non-attachment of health certificate to prescribe to Food Sanitation Act Article 9 Paragraph 2,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-01-05
Frozen beef: HEART,Ireland,KILDARE CHILLING,,Art.9(2),Non-attachment of health certificate to prescribe to Food Sanitation Act Article 9 Paragraph 2,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-01-05
SEASONING PLUM,China,"PUNING DONGYU FOOD CO.,LTD.",,Art.11(2),violation of standard of use (sodium sulfite (as SO2) 0.42 g/kg detection),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-05
Mix spice：DUKKAH SPICE MIX,Australia,LMH PROVIDORES PTY LTD,,Art.6 (ⅱ),"aflatoxin (mycotoxin)  14 μg/kg （B1:1.5 , G1:10.4 , G2:2.1) detected",osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-05
Sesami seed,Myanmar,,POH ENG MARKETING PTE LTD.,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（imidacloprid 0.02 ppm detection）",kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-05
Frozen food served after heating(other than those heated immediately before freezing):FROZEN SEAFOOD NET SPRING ROLL,Vietnam,HUNGHAU AGRICULTURAL CORPORATION,,Art.11(2),violation of compositional standard (unauthorised genetically modified papaya (PRSV-HN) positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-05
Frozen food served after heating(other than those heated immediately before freezing):SWEET CORN SUPERSWEET,Belgium,GREENYARD FROZEN BELGIUM NV,,Art.11(2),violation of compositional standard (E.coli positive),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-05
PDTO NOBASHI BLACK TIGER SHRIMP,Vietnam,MINH HAI JOINT-STOCK SEAFOODS PROCESSING COMPANY,,Art.11(2),violation of compositional standard (enrofloxacin 0.03 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-11
DRIED SEASONED STINGRAY,Vietnam,"CHO LON TRADING PRODUCING CO., LTD.",,Art.11(2),violation of standard of use (SO₂ 1.3 g/kg detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-11
DRIED SEASONED STINGRAY WITH CHILI,Vietnam,"CHO LON TRADING PRODUCING CO., LTD.",,Art.11(2),violation of standard of use (SO₂ 0.47 g/kg detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-11
Peanuts,China,,"QINGDAO JIAYI PEANUT FOODS CO., LTD.",Art.6 (ⅱ),aflatoxin (mycotoxin)  13 μg/kg （B1:12.8) detected,kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-11
FROZEN SQUID RING,Vietnam,"HOANG CAM TRADING MANUFACTURING CO.,LTD.",,Art.11(2),violation of compositional standard (chloramphenicol　0.0009 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-11
CUMIN POWDER BEST,India,ANAND FOOD & DAIRY PRODUCTS,,Art.11(2),violation of compositional standard (profenophos 0.61 ppm detection),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-11
Sesami seed,Tanzania,,OLAM TANZANIA LTD,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（imidacloprid 0.04 ppm detection）",osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-11
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN SENREI BLACK TIGER NOBASHI EBI,Vietnam,CUULONG SEAPRODUCTS CO.,,Art.11(2),violation of compositional standard (enrofloxacin 0.02 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-11
Dried fruit: PRUNES,U.S.A.,TAYLOR BROTHERS FARMS. U.S.A.,,Art.11(2),violation of standard of use (potassium sorbate (as sorbic acid)  0.58 g/kg detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-19
Frozen food served after heating(other than those heated immediately before freezing)：EBI FRY,Indonesia,PT. INDO AMERICAN SEAFOODS,,Art.11(2),violation of compositional standard (E.coli positive),kawasaki,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-19
Peanuts,China,,"COFCO SHANDONG PEANUT IMP. & EXP. CO., LTD",Art.6 (ⅱ),"aflatoxin (mycotoxin) 11μg/kg (B1:2.2, G1:7.7, G2:1.4) detected",naha,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-19
CHOCOLATE CHIP COOKIES CASHEWNUT,Vietnam,BIBICA CORPORATION,,Art.10,undesignated additive (TBHQ 1 μg/g detection),naha,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-19
Health food:BERRYPHARMA BILBERRY EXTRACT,Italy(bilberry origin: Finland),IPRONA AG-S.P.A.,,Art.11(2),violation of compositional standard (radioactive substance (Cs)  340 Bq/kg detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-19
Enamel ware:GREEN SWIRL SANDWICH PLATE,Indonesia,PT KEDAUNG INDAH CAN,,Art.18(2),non-conformity with the standard for materials（cadmium  1.2 μg/cm² detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-19
Enamel ware:GREEN SWIRL PASTA PLATE,Indonesia,PT KEDAUNG INDAH CAN,,Art.18(2),non-conformity with the standard for materials（cadmium  0.60 μg/ml  detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-19
Roasted peanuts,China,"WEIHAI SANSHO FOODSTUFFS CO., LTD.",,Art.6 (ⅱ),"aflatoxin (mycotoxin)  82 μg/kg　（B1:24.5 , B2:2.3 , G1:48.0 , G2:6.9) detected",osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-19
CYPRESS LEAF,China,"LUOYANG SANYOU NATIVE PRODUCTS CO.,LTD.",,Art.11(2),violation of standard of use (sodium sulfite (as SO2 ) 0.056 g/kg detection),moji,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-19
Sesami seed,Paraguay,,DULSAN ORGANICA S.A.,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（carbaryl 0.02 ppm detection） ",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-19
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN NOBASHI VANNAMEI SHRIMP,Vietnam,THUAN PHUOC SEAFOODS AND TRADING CORPORATION,,Art.11(2),violation of compositional standard (furazolidone 0.004 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-19
Fresh cacao beans,Ecuador,,INMOBILIARIA GUANGALA S.A.,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (pyrimethanil 0.02 ppm　detection)",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-25
Walnut,U.S.A.,,MARIANI NUT COMPANY,Art.6 (ⅱ),"aflatoxin (mycotoxin) 23 μg/kg (B1:19.7, B2:3.3) detected",kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-25
CHEST NUT IN SYRUP,China,"DANDONG DONGRI FOODS CO., LTD.",,Art.11(2),violation of standard of use (sodium hydrosulfite and sodium pyrosulfite(as SO₂) 0.031 g/kg detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-25
Sugarpaste (COCO BROWN),United Kingdom,SQUIRES KITCHEN SUGARCRAFT LTD,,Art.11(2),violation of standard of use (use of Iron sesquioxide in other than target food),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-01-25
Sesami seed,Myanmar,,"DIAMOND ARROW GENERAL TRADING CO.,LTD.",Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（imidacloprid 0.02 ppm detection）",osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-25
Pistachio nuts,U.S.A.,,"SHOEI FOODS (U.S.A.), INC",Art.6 (ⅱ),"aflatoxin (mycotoxin) 75 μg/kg　（B1:70.1, B2:5.0) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-25
Dried figs,Iran,"OMID NIKAN CO., PJS.",,Art.6 (ⅱ),"aflatoxin (mycotoxin) 70 μg/kg　（B1:44.2, B2:2.7, G1:21.9, G2:1.4) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-25
Biscuit: FIVE-GRAIN CREAM SANDWICH BISCUITS,China,"WEIHAI DONGWANG FOOD CO., LTD.",,Art.10,undesignated additive (TBHQ 2 μg/g detection),hiroshima,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-01-25
Frozen fresh fish and shellfish for raw consumption: SODE-IKA CUT,Philippines,MILLENNIUM OCEAN STAR CORP.,,Art.11(2),violation of compositional standard (live bacteria count  1.5 ×10⁵ /g),nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-01-25
SOFT FISH AJI,Thailand,"SIAMCHAI INTERNATIONAL FOOD CO.,LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),kawasaki,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-25
Frozen food served after heating(those heated immediately before freezing):FROZEN OKRA TEMPURA,Vietnam,AN SAN FOODS FACTORY,,Art.11(2),violation of compositional standard (coliform bacteria positive),kawasaki,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-25
Chocolate:PISTACHIO,Belgium,HET ZWARTE GOUD BVBA,,Art.11(2),violation of standard of use (use of sodium copper chlorophyllin and copper chlorophyll in other than target food),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-01-25
Roasted peanuts:COCOA PEANUT,China,"WEIHAI PEANUT FOODSTUFFS CO., LTD.",,Art.6 (ⅱ),"aflatoxin (mycotoxin)  21 μg/kg　（B1:6.6,  G1:11.9, G2:2.1) detected",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-25
Peanuts,China,,"QINGDAO RONGDA PEANUT PRODUCTS CO., LTD.",Art.6 (ⅱ),"aflatoxin (mycotoxin)  17 μg/kg　（B1:15.5, B2:1.2) detected",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-25
Frozen food served after heating(other than those heated immediately before freezing)：RED PEPPER,Peru,THE GREEN FARMER S.A.C.,,Art.11(2),violation of compositional standard (live bacteria count  6.8×10⁷ /g),nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-25
Food Additive:MONOSODIUM L-GLUTAMATE,Thailand,"KT MSG CO., LTD.",,Art.11(2),violation of compositional standard（content 95.1 % and purity:chloride),fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-25
Pistachio nuts,Iran,,PARIZ PROMOTER PARS TRADE CO.,Art.11(2),violation of compositional standard (imidacloprid 0.08 ppm detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-25
CHILLI POWDER,Nepal,ONE WORLD (NEPAL) TRADING,,Art.11(2)　Art.11(3),"violation of compositional standard (ethion 0.6 ppm detection), detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（triazophos 0.67 ppm detection）",narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-01-25
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN NOBASHI VANNAMEI SHRIMP,Vietnam,THUAN PHUOC SEAFOODS & TRADING CORP.,,Art.11(2),violation of compositional standard (furazolidone 0.005 ppm detection),fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-31
Frozen food served without heating:PAPAYA,Peru,THE GREEN FARMER S.A.C.,,Art.11(2),violation of compositional standard (live bacteria count 2.3 ×10⁵ /g、coliform bacteria positive),nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-31
CRUSHED CHILLI,Sri Lanka,SYNERGY LANKA TRADING COMPANY A. I.,,Art.6 (ⅱ),"aflatoxin (mycotoxin)  50 μg/kg　（B1:47.9, B2:2,1) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-31
Powdered drink beverages:ROOIBOS COLD WATER SOLUBLE MALTODEXTRIN BLEND EXTRACT,South Afirca,ROOIBOS LTD ,,Art.11(2),violation of compositional standard (coliform bacteria positive),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-31
DRIED SEASONED KAWAHAGI,Vietnam,DUY QUOC FOOD COMPANY LIMITED,,Art.11(2),violation of compositional standard (chloramphenicol　0.0007 ppm detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-31
Dried Figs,Turkey,KIRLIOGLU TARIMSAL URUNLER GIDA INS. SAN. TIC. A.S,,Art.6 (ⅱ),"aflatoxin (mycotoxin)  31 μg/kg　（B1:8.6, B2:1.4, G1:17.9 , G2:3.1) detected",kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-31
Health food: ELIXINOL X300,U.S.A.,ELIXINOL LLC,,Art.11(2),violation of standard of use (potassium sorbate (as sorbic acid)  0.352 g/kg detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-31
Health food: ELIXINOL X100,U.S.A.,ELIXINOL LLC,,Art.11(2),violation of standard of use (potassium sorbate (as sorbic acid)  0.345 g/kg detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-31
Food additive: Tocotrienol,Malaysia,SIME DARBY FOODS & BEVERAGES MARKETING SDN BHD,,Art.11(2),violation of compositional standard（purity: acid value 6.3）,kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-31
Chocolate: DOUBLE HEART GANACHE RASBERRY DARK CHOCOLATE,Belgium,PASSION CHOCOLAT S.A.,,Art.11(2),violation of standard of use (potassium sorbate (as sorbic acid)  1.1 g/kg detection),chubu airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-01-31
Peanuts,China,,"QINGDAO JIADE FOODS CO.,LTD",Art.6 (ⅱ),aflatoxin (mycotoxin)  12 μg/kg　（B1:11.9) detected,yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-31
Other Seaweed: FRESH KUBIREZUTA,Indonesia,,CV. PERSADA SEMESTA,Art.6 (ⅰ),"decay, deterioration and nasty smell",naha airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-01-31
Peanuts,U.S.A.,,"MCCLESKEY MILLS, INC.",Art.6 (ⅱ),"aflatoxin (mycotoxin)  22 μg/kg　（B1:19.7, B2:2,1) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-01-31
Chocolate: LEGENDARY STICK PRALINE,Belgium,BVBA CULICHOC,,Art.10,undesignated additive (azorubine detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-02-08
ORGANIC SHELLED ROASTED ALMONDS,Italy,F.LLI CAPRINO S.R.L.,,Art.6 (ⅱ),"aflatoxin (mycotoxin)  32 μg/kg　（B1:17.4,  B2:2.5, G1:9.5, G2:2.1) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-08
ORGANIC SHELLED ROASTED ALMONDS,Italy,F.LLI CAPRINO S.R.L.,,Art.6 (ⅱ),"aflatoxin (mycotoxin)  26 μg/kg　（B1:23.0,  B2:3.3) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-08
ROASTED PEANUTS KERNELS WITH SKIN,China,"QINGDAO CHANSEN TRADING CO., LTD.",,Art.6 (ⅱ),"aflatoxin (mycotoxin)  11 μg/kg　（B1:9.5,  B2:1.2) detected",fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-08
Almonds,U.S.A.,,BLUE DIAMOND GROWERS,Art.6 (ⅱ),"aflatoxin (mycotoxin)  89 μg/kg　（B1:78.7,  B2:10.3) detected",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-08
Milled rice,Thailand,,"THAI HUA (2511) CO.,LTD.",Art.6 (ⅰ),"generation of mold, nasty smell,  solidification and decay",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-02-08
Milled rice,Thailand,,"THAI HUA (2511) CO.,LTD.",Art.6 (ⅰ),"generation of mold, nasty smell,  solidification and decay",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-02-08
Frozen food served after heating(other than those heated immediately before freezing):FROZEN SEAFOOD NET SPRING ROLL,Vietnam,HUNGHAU AGRICULTURAL CORPORATION,,Art.11(2),violation of compositional standard (unauthorised genetically modified papaya (PRSV-HN) positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-02-08
Fresh cacao beans,Venezuela,,INTERNATIONAL COCOA INC.,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.04 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-08
Fresh cacao beans,Ecuador,,TOUTON SA,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.02 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-08
Fresh cacao beans,Ecuador,,TRANSMAR ECUADOR S.A.,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.03 ppm detection）",kawasaki,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-08
Milled rice,Thailand,,,Art.6 (ⅰ),generation of decay deterioration and mold and nasty smell,chiba,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-02-08
Frozen food served without heating:PAPAYA,Philippines,D' FARMERS MARKET FRUITS & PASTRIES CENTER,,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-02-08
FRIED PEANUTS WITH RED SKIN(AGESIO PEANUTS),China,"YANTAI DACHENG FOODSTUFF CO., LTD.",,Art.6 (ⅱ),"aflatoxin (mycotoxin)  19 μg/kg　（B1:16.2,  B2:3.0) detected",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-08
Wheat,U.S.A.,,"COLUMBIA GRAIN,  INC.",Art.6 (ⅰ),generation of mold and nasty smell,naha,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-02-08
Non-heating edible meat product: LARDO CINTA SENESE,Italy,SAVIGNI SOCIETA SEMPLICE AGRICOLA,,Art.11(2),"violation of compositional standard (Listeria monocytogenes ①130 /g ,②200 /g)",kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-02-08
Fresh cacao beans,Venezuela,,AGROPECUARIA CARENERO CA,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.02 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-08
Confectionery: FIG AND ALMONDS CAKE（PAN DE HIGO）,Spain,CONSORCIO DE LOS QUESOS,,Art.6 (ⅱ),"aflatoxin (mycotoxin)  33 μg/kg　（B1:6.5, G1:24.1, G2:1.9) detected",narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-02-08
Fresh large yellow croaker,China,,"SHANG HAI HANG JIN AQUATIC FOODS CO., LTD.",Art.11(2),violation of compositional standard (enrofloxacin 6.46 ppm detection),narita airport,,,the whole quantity has been sold,monitoring inspection,2017-02-08
CHILI PEPPER,Italy,TUTTOCALABRIA SRL,,Art.6 (ⅱ),"aflatoxin (mycotoxin)  17 μg/kg　（B1:3.8, G1:13.3) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-08
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN RAPE FLOWER BQF,China,"HANGZHOU JMART FOODS CO., LTD.",,Art.11(2),violation of compositional standard (E.coli positive),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-02-08
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN BROAD BEAN,China,"JINHUA TIANYUAN FOODS CO.,LTD.",,Art.11(2),violation of compositional standard (E.coli positive),fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-02-08
Fresh cacao beans,Venezuela,,CACAO SAN JOSE CA,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.02 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-08
LIVE EEL,China,SHANGHAI FOODSTUFFS IMPORT& EXPORT CORPORATION POULTRY COMPANY,,Art.11(2),violation of compositional standard (methylene blue 0.013 ppm detection),kansai airport,,,we directed abandonment or return of the cargo (under investigation),monitoring inspection,2017-02-08
Non-heating edible meat product: ORIGINAL MEAT STICK,U.S.A.,"TILLAMOOK COUNTRY SMOKER,INC.",,Art.11(2),violation of standard of manufacture( no use of sodium nitrite and non-conformity for smoke temperature）,narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-02-15
Non-heating edible meat product: HUNTERS SAUSAGE STICK,U.S.A.,"TILLAMOOK COUNTRY SMOKER,INC.",,Art.11(2),violation of standard of manufacture( no use of sodium nitrite and non-conformity for smoke temperature）,narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-02-15
Fresh Taro,China,,"LINYI SHENHEYI FOOD STUFFS CO.,LTD.",Art.11(2),violation of compositional standard (chlorpyrifos 0.03 ppm detection),fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-02-15
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN HONEY PEA,China,,"HUANGSHAN ZHONGWANG FOOD CO.,LTD.",Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（diniconazole 0.02 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-15
Pistachio nuts,Italy,,ANTONINO AFFRONTI S.R.L.,Art.6 (ⅱ),"aflatoxin (mycotoxin)  80 μg/kg　（B1:70.7, B2:7.2, G1:2.5) detected",kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-15
Frozen food served without heating: Scallop slice,Vietnam,TRUNG SON HUNG YEN FOODSTUFF CORPORATION,,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-02-15
Container packing filling pressurization heating sterilization food: GALBITANG,Korea,"JINHAN FOOD CO.,LTD.",,Art.11(2),violation of compositional standard (live bacteria positive),shimonoseki,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-02-15
RASPBERRY FLAVOURED HERBAL TEA,France,HEDIARD S.A.,,Art.6 (ⅱ),"aflatoxin (mycotoxin)  24 μg/kg　（B1:17.7, B2:5.8 ) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-02-15
ROASTED PEANUTS IN SHELL,China,"RONGCHENG HONGCHENG FOODS CO., LTD.",,Art.6 (ⅱ),aflatoxin (mycotoxin)  14 μg/kg　（B1:14.0 ) detected,nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-15
Corn,U.S.A.,,ZEN-NOH GRAIN CORPORATION,Art.6 (ⅱ),aflatoxin (mycotoxin)  15 μg/kg　（B1:14.8 ) detected,nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-15
Milled broken rice,U.S.A.,,SUMITOMO CORPORATION OF AMERICAS,Art.6 (ⅰ),"generation of mold, decay and nasty smell",niigata,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-02-15
Frozen food served without heating: FROZEN VANNAMEI SHRIMP,Malaysia,HAIKY BORNEO SDN. BHD,,Art.11(2),violation of compositional standard (coliform bacteria positive),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-02-15
